,TITLE,SINGER,LYRIC
0,All I Want for Christmas Is You,Mariah Carey,I don`t want a lot for Christmas There is just one thing I need I don`t care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas Is you I don`t want a lot for Christmas There is just one thing I need And I I don`t care about the presents Underneath the Christmas tree I don`t need to hang my stocking There upon the fireplace Santa Claus won`t make me happy With a toy on Christmas day I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You baby Oh I won`t ask for much this Christmas I won`t even wish for snow And I I`m just gonna keep on waiting Underneath the mistletoe I won`t make a list and send it To the North Pole for Saint Nick I won`t even stay awake to Hear those magic reindeer click `Cause I just want you here tonight Holding on to me so tight What more can I do Baby all I want for Christmas is you You Baby Oh All the lights are shining So brightly everywhere And the sound of children`s Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa won`t you bring me the one I really need Won`t you please bring my baby to me Oh I don`t want a lot for Christmas This is all I`m asking for I just want to see my baby Standing right outside my door Oh I just want you for my own More than you could ever know Make my wish come true Baby all I want for Christmas is You you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby All I want for Christmas is you baby
1,Santa Tell Me,Ariana Grande,Santa tell me if you're really there Don't make me fall in love again If he won't be here next year Santa tell me if he really cares Cause I can't give it all away if he won't be here next year Feeling Christmas all around And I'm trying to play it cool But it's hard to focus when I see him walking 'cross the room Let it snow is blasting now But I won't get it in the mood I'm avoiding every mistletoe until I know it's true love That he thinks of So next Christmas I'm not all alone boy Santa tell me if you're really there Don't make me fall in love again If he won't be here next year Santa tell me if he really cares Cause I can't give it all away if he won't be here next year I've been down this road before Fell in love on Christmas night But I knew you say I woke up and you wasn't by my side Now I need someone to hold Be my fire in the cold But it's hard to tell if this is just a fling or if it's true love That he thinks of So next Christmas I'm not all alone boy Santa tell me if you're really there Don't make me fall in love again If he won't be here next year Santa tell me if he really cares Cause I can't give it all away if he won't be here next year Oh I wanna have him beside me like ooh On the 25th by the fireplace ooh But I don't want no broken heart This year I got to be smart Oh baby Santa tell me Santa tell me Santa tell me Santa tell me if you're really there Don't make me fall in love again If he won't be here next year Santa tell me if he really cares Cause I can't give it all away if he won't be here next year Santa tell me if you're really there Don't make me fall in love again If he won't be here next year Santa tell me if he really cares Cause I can't give it all away if he won't be here next year
2,STAY,"The Kid LAROI, Justin Bieber",I do the same thing I told you that I never would I told you I'd change even when I knew I never could I know that I can't find nobody else as good as you I need you to stay need you to stay hey Oh I get drunk wake up I'm wasted still I realize the time that I wasted here I feel like you can't feel the way I feel Oh I'll be fucked up if you can't be right here Oh ooh-woah Oh ooh-woah ooh-woah Oh ooh-woah Oh ooh-woah ooh-woah Oh ooh-woah Oh ooh-woah ooh-woah Oh I'll be fucked up if you can't be right here I do the same thing I told you that I never would I told you I'd change even when I knew I never could I know that I can't find nobody else as good as you I need you to stay need you to stay hey I do the same thing I told you that I never would I told you I'd change even when I knew I never could I know that I can't find nobody else as good as you I need you to stay need you to stay hey When I'm away from you I miss your touch Ooh You're the reason I believe in love Ooh It's been difficult for me to trust Ooh And I'm afraid that I'ma fuck it up Ooh Ain't no way that I can leave you stranded 'Cause you ain't ever left me empty-handed And you know that I know that I can't live without you So baby stay Oh ooh-woah Oh ooh-woah ooh-woah Oh ooh-woah Oh ooh-woah ooh-woah Oh ooh-woah Oh ooh-woah ooh-woah I'll be fucked up if you can't be right here I do the same thing I told you that I never would I told you I'd change even when I knew I never could I know that I can't find nobody else as good as you I need you to stay need you to stay hey I do the same thing I told you that I never would I told you I'd change even when I knew I never could I know that I can't find nobody else as good as you I need you to stay need you to stay hey Woah-oh I need you to stay need you to stay hey
3,Snowman,Sia,Don't cry snowman not in front of me Who will catch your tears if you can't catch me darling If you can't catch me darling Don't cry snowman don't leave me this way A puddle of water can't hold me close baby Can't hold me close baby I want you to know that I'm never leaving Cause I'm Mrs. Snow 'till death we'll be freezing Yeah you are my home my home for all seasons So come on let's go Let go below zero And hide from the sun I love you forever Well we'll have some fun Yes let's hit the North Pole And live happily Please don't cry no tears now It's Christmas baby My snowman and me yeah My snowman and me baby Don't cry snowman don't you fear the sun Who'll carry me without legs to run honey Without legs to run honey Don't cry snowman don't you shed a tear Who'll hear my secrets if you don't have ears baby If you don't have ears baby I want you to know that I'm never leaving Cause I'm Mrs. Snow 'till death we'll be freezing Yeah you are my home my home for all seasons So come on let's go Let's go below zero And hide from the sun I love you forever Well we'll have some fun Yes let's hit the North Pole And live happily Please don't cry no tears now It's Christmas baby My snowman and me yeah My snowman and me baby
4,Last Christmas,Ariana Grande,I hate that eye remember I wish I could forget What you did last december You left my heart on me Boy you blew it How could you do it to it Last Christmas I gave you my heart But the very next day You gave it away This year To save me from tears I'll give it to someone special The Last Christmas I gave you my heart But the very next day You gave it away This year To save me from tears I'll give it to someone special The people all together At least that's what you said I should've known but I You broke my heart again Boy you blew it How could you do it to it The Last Christmas I gave you my heart But the very next day You gave it away This year To save me from tears I'll give it to someone special The Last Christmas I gave you my heart But the very next day You gave it away This year To save me from tears I'll give it to someone special How could you leave cristmas morning You broke my heart with no warning Boy you blew it How could you do it to it The Last Christmas I gave you my heart But the very next day You gave it away This year To save me from tears I'll give it to someone special Last Last Last Last Cristmas You broke my heart Last Last Last Last Cristmas You broke my heart This year To save me from tears I'll give it to someone special I hate that eye remember I wish I could forget What you did last december You left my heart on me You blew it You blew it blew it I hate that eye remember I wish I could forget What you did last december You left my heart on me
5,My Universe,"Coldplay, 방탄소년단","You, you are my universe and I just want to put you first And you, you are my universe, and I…  In the night I lie and look up at you When the morning comes I watch you rise There’s a paradise they couldn’t capture That bright infinity inside your eyes  매일 밤 네게 날아가 (가) 꿈이란 것도 잊은 채 나 웃으며 너를 만나 (나) Never ending forever baby  You, you are my universe and I just want to put you first And you, you are my universe, and You make my world light up inside  어둠이 내겐 더 편했었지 길어진 그림자 속에서 (eyes)  And they said that we can’t be together Because Because we come from different sides  You, you are my universe and I just want to put you first And you, you are my universe, and You make my world light up inside  My universe (do do, do do) My universe (do do, do do) My universe (do do, do do) (you make my world) You make my world light up inside  Make my world light up inside  나를 밝혀주는 건 너란 사랑으로 수 놓아진 별 내 우주의 넌 또 다른 세상을 만들어 주는 걸  너는 내 별이자 나의 우주니까 지금 이 시련도 결국엔 잠시니까 너는 언제까지나 지금처럼 밝게만 빛나줘 우리는 너를 따라 이 긴 밤을 수놓을 거야  너와 함께 날아가 (가) When I’m without you I’m crazy 자 어서 내 손을 잡아 (아) We are made of each other baby  You, you are my universe and I just want to put you first And you, you are my universe, and You make my world light up inside  My universe (you, you are) My universe (I just want) My universe (you, you are) My universe, and I  My universe"
6,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it And I see you Oh the way I breathe you in In It's the texture of your skin I wanna wrap my arms around you baby Never let you go oh And I say oh there's nothing like your touch It's the way you lift me up yeah And I'll be right here with you 'til the end I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it You ain't sure yet but I'm for ya' All I could want all I can wish for Nights alone that we miss more And days we save as souvenirs There's no time I wanna make more time And give you my whole life I left my girl I'm in Mallorca Hate to leave her call it torture Remember when I couldn't hold her Left the baggage for a mover I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I get the feeling so I'm sure Sure Hand in my hand because I'm yours I can't I can't pretend I can't ignore you're right for me Don't think you wanna know just where I've been oh Don't be distracted The one I need is right in my arms Oh Your kisses taste the sweetest with mine And I'll be right here with you 'til end of time I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it
7,Bad Habits,Ed Sheeran,Every time you come around you know I can’t say no Every time the sun goes down I let you take control I can feel the paradise before my world implodes and tonight had something wonderful My bad habits lead to late nights ending alone Conversations with a stranger I barely know Swearing this will be the last but it probably won’t I’ve got nothing left to lose or use or do My bad habits to lead to wide eyes stare into space And I know I lose control of the things that I say I was looking for a way out now I can’t escape Nothing happens after two It’s true it’s true My bad habits lead to you My bad habits lead to you Every pure intention ends when the good times start Falling over everything to reach the first times spark Started under neon lights then it all got dark I only know how to go too far My bad habits lead to late nights ending alone Conversations with a stranger I barely know Swearing this will be the last but it probably won’t I’ve got nothing left to lose or use or do My bad habits to lead to wide eyes stare into space And I know I lose control of the things that I say I was looking for a way out now I can’t escape Nothing happens after two It’s true it’s true My bad habits lead to you My bad habits lead to you We took the long way round And burned til the fun ran out now My bad habits lead to late nights ending alone Conversations with a stranger I barely know Swearing this will be the last but it probably won’t I’ve got nothing left to lose or use or do My bad habits to lead to wide eyes stare into space And I know I lose control of the things that I say I was looking for a way out now I can’t escape Nothing happens after two It’s true it’s true My bad habits lead to you My bad habits lead to you My bad habits lead to you
8,Off My Face,Justin Bieber,One touch and you got me stoned Higher than I've ever known You call the shots and I follow Sunrise but the night still young No words but we speak in tongues If you let me I might say too much Your touch blurred my vision It's your world and I'm just in it Even sober I'm not thinkin' straight 'Cause I'm off my face in love with you I'm out my head so into you and I don't know how you do it But I'm forever ruined by you ooh ooh ooh Can't sleep 'cause I'm way too buzzed Too late now you're in my blood I don't hate the way you keep me up Your touch blurred my vision It's your world and I'm just in it Even sober I'm not thinkin' straight 'Cause I'm off my face in love with you I'm out my head so into you and I don't know how you do it But I'm forever ruined by you ooh ooh ooh Ooh-ooh-ooh ooh ooh ooh ooh Ooh-ooh-ooh ooh ooh Ooh-ooh-ooh ooh ooh ooh ooh Ooh-ooh-ooh ooh ooh 'Cause I'm off my face in love with you I'm out my head so into you and I don't know how you do it But I'm forever ruined by you ooh ooh ooh By you ooh ooh ooh
9,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage love Did somebody did somebody Break your heart Lookin' like an angel But your savage love When you kiss me I know you don't give two fucks But I still want that If I woke up without you I don't know what I would do Thought I could be single forever 'till I met you Usually don't be fallin' be fallin' fallin' fast You gotta way of keeping me comin' back-to-back I just found out the only reason that you lovin' me Was to get back at your ex lover but before you leave Usually I would never would never even care Baby I know she creepin' I feel it in the air Every night every day I try to make you stay But your Savage love Did somebody did somebody Break your heart Lookin' like an angel But your savage love But when you kiss me I know you don't give two fucks But I still want that Your savage love Your savage la-la-love Your savage la-la-love You could use me Cos I still want that 사랑이란 어쩌면 순간의 감정의 나열 조건이 다들 붙지 난 뭘 사랑하는가 영원이라는 말은 어쩌면 모래성 잔잔한 파도 앞에 힘없이 무너져 Every night every day I'm swept away by the waves Don't know what I'm thinking Can’t get you outta my head 내가 두려운 게 그대이든 그때이든 불같이 사랑할래 그댈 지금 Every night and every day I try to make you stay But your Savage love Did somebody did somebody Break your heart Lookin' like an angel But your savage love But when you kiss me I know you don't give two fucks But I still want that Your savage love Your savage la-la-love Your savage la-la-love You could use me Cuz I still want that Your savage love Your savage la-la-love Your savage la-la-love You could use me Baby Savage love Did somebody did somebody Break your heart Lookin' like an angel But your savage love When you kiss me I know you don't give two fucks But I still want that Your savage love savage love Your savage la-la-love Your savage la-la-love You could use me Cos I still want that your savage love
